word	count
city	1309
island	1149
country	1007
time	836
year	834
area	815
day	794
place	739
town	718
season	619
beach	583
summer	553
coast	535
month	524
festival	522
mountain	485
water	467
winter	463
north	438
park	426
south	403
tourist	398
events	390
world	384
temperature	375
visitor	370
event	360
attractions	359
building	358
activities	355
centre	342
street	337
museum	328
people	324
end	324
east	314
region	312
site	311
century	308
holiday	306
way	305
capital	304
west	302
music	287
art	282
sea	274
hotel	266
weather	264
part	256
specie	254
information	248
number	245
risk	240
house	238
home	235
celebration	235
week	233
climate	232
visa	230
activity	227
bird	224
measure	217
facts	217
spring	216
village	214
side	214
river	214
hour	214
land	211
rain	204
mile	204
border	202
tree	199
plenty	199
trail	197
collection	195
forest	194
spot	191
market	191
restaurant	183
attraction	182
tour	181
trip	178
range	176
life	174
view	172
boat	171
history	169
resort	168
visit	167
road	165
fishing	164
food	163
visas	160
hill	160
swimming	159
church	157
accommodation	157
period	155
night	154
point	153
bus	152
sq	148
parade	148
lake	147
population	146
weekend	145
lot	144
%	144
shop	142
display	140
peak	138
center	136
desert	133
wind	129
course	129
calendar	129
walk	128
bit	128
environment	127
variety	124
thing	122
sport	122
rock	122
wall	121
plain	121
diving	121
state	119
service	119
today	118
km	116
group	116
culture	115
size	114
reef	114
sand	113
price	112
citizen	112
local	110
ground	110
sight	109
plant	109
garden	108
animal	108
heart	107
dance	107
skiing	106
rainfall	105
opportunity	105
square	104
room	104
hiking	103
anyone	103
rest	102
hourselectricity	102
exhibit	100
palace	99
interior	99
crowds	99
shore	96
bar	96
downtown	94
valley	93
reserve	93
architecture	93
pool	92
passport	92
party	92
health	92
head	92
fish	92
game	90
autumn	90
transportation	89
horse	89
temple	88
date	88
traveller	87
safety	87
custom	87
stone	86
office	86
name	86
wildlife	85
sun	85
race	84
loss	84
district	84
destination	84
government	83
everything	83
car	83
ride	82
rainforest	82
heat	82
concert	82
authority	82
wet	81
round	80
cave	80
air	80
station	79
fever	79
port	78
humidity	78
bank	78
travel	77
stretch	77
route	77
line	77
facility	77
couple	76
responsibility	75
level	75
injury	75
highlight	75
half	75
golf	75
gallery	75
festivity	75
craft	75
club	75
|newsletters	74
landscape	74
inconvenience	74
turtle	73
tower	73
statue	73
southeast	73
one	73
